Timestamp,ActionType,FileName,FolderPath,SHA256,RiskScore
"Jul 24, 2025 4:32:27 PM",FileCreated,mac_FRE_Tutorial_Share.js,C:\Users\Rafi03\AppData\Local\Microsoft\OneDrive\25.122.0624.0004\images\darkTheme\mac_FRE_Tutorial_Share.js,497fabf40de6beea42440b3a3624161f8ab229919271e703d974085c3ca474f4,3
"Jul 24, 2025 4:32:30 PM",FileCreated,sv_FRE_Tutorial_Intro.js,C:\Users\Rafi03\AppData\Local\Microsoft\OneDrive\25.122.0624.0004\images\darkTheme\sv_FRE_Tutorial_Intro.js,869cd49de76187a1aa3c47d3f95c5714064d9c23241af52a45b425455ef64efc,3
"Jul 24, 2025 4:32:30 PM",FileCreated,sv_FRE_Tutorial_Share.js,C:\Users\Rafi03\AppData\Local\Microsoft\OneDrive\25.122.0624.0004\images\darkTheme\sv_FRE_Tutorial_Share.js,c13b3383d59f7c16bfcc4b1f64f57f3a931a764fe3d96344de9de84f4abb2a7c,3
"Jul 25, 2025 8:34:16 AM",FileCreated,RS_AdminDiagnosticHistory.ps1,C:\Windows\Temp\SDIAG_cf6c4643-f058-47ff-8a88-f60c42148998\RS_AdminDiagnosticHistory.ps1,,3
"Jul 25, 2025 8:34:16 AM",FileCreated,RS_UserDiagnosticHistory.ps1,C:\Windows\Temp\SDIAG_cf6c4643-f058-47ff-8a88-f60c42148998\RS_UserDiagnosticHistory.ps1,,3
"Jul 25, 2025 8:34:16 AM",FileCreated,TS_DiagnosticHistory.ps1,C:\Windows\Temp\SDIAG_cf6c4643-f058-47ff-8a88-f60c42148998\TS_DiagnosticHistory.ps1,,3
"Jul 26, 2025 7:56:10 AM",FileCreated,microsoft.aip.pdfprotector.dll,C:\Users\Rafi03\AppData\Local\Microsoft\OneDrive\25.127.0701.0006\IRMProtectors\microsoft.aip.pdfprotector.dll,6320d28bd9c93f2d12d2a15a8bce140acb5304544391656382f999b33bde9aae,3
"Jul 26, 2025 7:56:10 AM",FileCreated,Microsoft.Office.Irm.MsoProtector.dll,C:\Users\Rafi03\AppData\Local\Microsoft\OneDrive\25.127.0701.0006\IRMProtectors\Microsoft.Office.Irm.MsoProtector.dll,39ca451840c48cfd755b676cdd4ee47a945254711ba0d184c009889ee0be52e1,3
"Jul 26, 2025 7:56:10 AM",FileCreated,Microsoft.Office.Irm.OfcProtector.dll,C:\Users\Rafi03\AppData\Local\Microsoft\OneDrive\25.127.0701.0006\IRMProtectors\Microsoft.Office.Irm.OfcProtector.dll,e34ec0573d6255426cf50d7c3a62a112659ba0d1af1eb0a3927dad77648d75a9,3
"Jul 26, 2025 7:56:18 AM",FileCreated,FRE_Tutorial_Intro.js,C:\Users\Rafi03\AppData\Local\Microsoft\OneDrive\25.127.0701.0006\images\darkTheme\FRE_Tutorial_Intro.js,a727c2cb5b38879015726e1635d2b4a754e099ec214a411df611f031875e958f,3
"Jul 26, 2025 7:56:18 AM",FileCreated,FRE_Tutorial_Mobile.js,C:\Users\Rafi03\AppData\Local\Microsoft\OneDrive\25.127.0701.0006\images\darkTheme\FRE_Tutorial_Mobile.js,7340bf26937e17d3081f00a263c7cf638315a36d805c0316ab613f51d6a65757,3
"Jul 26, 2025 7:56:18 AM",FileCreated,FRE_Tutorial_Share.js,C:\Users\Rafi03\AppData\Local\Microsoft\OneDrive\25.127.0701.0006\images\darkTheme\FRE_Tutorial_Share.js,a3530d2250967b602dfe064231e6c184990082b18fdd37017ee34a3586de6a75,3
"Jul 26, 2025 7:56:18 AM",FileCreated,mac_FRE_Tutorial_Intro.js,C:\Users\Rafi03\AppData\Local\Microsoft\OneDrive\25.127.0701.0006\images\darkTheme\mac_FRE_Tutorial_Intro.js,5042e798fb3458043d53366391545c0f0e2fa229eebaae70c6c19d717d6aab6c,3
"Jul 26, 2025 7:56:18 AM",FileCreated,mac_FRE_Tutorial_Share.js,C:\Users\Rafi03\AppData\Local\Microsoft\OneDrive\25.127.0701.0006\images\darkTheme\mac_FRE_Tutorial_Share.js,497fabf40de6beea42440b3a3624161f8ab229919271e703d974085c3ca474f4,3
"Jul 26, 2025 7:56:18 AM",FileCreated,sv_FRE_Tutorial_Intro.js,C:\Users\Rafi03\AppData\Local\Microsoft\OneDrive\25.127.0701.0006\images\darkTheme\sv_FRE_Tutorial_Intro.js,869cd49de76187a1aa3c47d3f95c5714064d9c23241af52a45b425455ef64efc,3
